title,link,press,category,timestamp
"[2보] 대전서 전 연인 살해 20대 남성 긴급체포…체포 직전 음독 시도","https://n.news.naver.com/mnews/article/001/0015538327","연합뉴스","사회","2025-07-30 PM 12:34:51"
"목걸이에 그림·현금까지‥""타인의 재산""","https://n.news.naver.com/mnews/article/214/0001439683","MBC","사회","2025-07-30 PM 12:34:51"
"[단독] 특검, ‘양평 공흥지구 의혹’ 김건희 오빠 재판도 중단 요청","https://n.news.naver.com/mnews/article/028/0002758655","한겨레","사회","2025-07-30 PM 12:34:51"
"‘건진-김건희 청탁 의혹’ 통일교 키맨 구속 기로","https://n.news.naver.com/mnews/article/028/0002758654","한겨레","사회","2025-07-30 PM 12:34:51"
"[단독] 집까지 따라와 성폭행 시도했는데 구속영장 기각‥'가해자 거주지 일정'","https://n.news.naver.com/mnews/article/214/0001439675","MBC","사회","2025-07-30 PM 12:34:51"
"‘극한 폭염’ 언제까지…이 시각 재난센터","https://n.news.naver.com/mnews/article/056/0011999295","KBS","사회","2025-07-30 PM 12:34:51"
"""또 흡연?"" 물 뿌린 여성 vs ""왜 물 뿌려"" 쳐들어온 남성…누가 더 문제일까 [어떻게 생각하세요]","https://n.news.naver.com/mnews/article/014/0005384623","파이낸셜뉴스","사회","2025-07-30 PM 12:34:51"
"“3자 변제 철회 없는 양금덕 할머니 서훈은 절반의 정의”","https://n.news.naver.com/mnews/article/028/0002758652","한겨레","사회","2025-07-30 PM 12:34:51"
"韓 임상의사 수, OECD 끝에서 두번째…병상·외래진료는 '최다'","https://n.news.naver.com/mnews/article/025/0003458737","중앙일보","사회","2025-07-30 PM 12:34:51"
"경찰, 가락동 유흥가 성매매업 운영자 및 호객꾼 54명 검거","https://n.news.naver.com/mnews/article/469/0000878910","한국일보","사회","2025-07-30 PM 12:34:51"
"불법 성매매 극성 가락동 삐끼 자취 감췄다…경찰 대대적 단속 [세상&]","https://n.news.naver.com/mnews/article/016/0002507223","헤럴드경제","사회","2025-07-30 PM 12:34:51"
"폭행 남편 피해온 튀니지 여성 난민심사 거절…대법 ""부당""","https://n.news.naver.com/mnews/article/001/0015538310","연합뉴스","사회","2025-07-30 PM 12:34:51"
