title,link,press,category,timestamp
"목동6단지 간 오세훈 “고도제한 기준 개정, 목동 재개발에 영향 없어”","https://n.news.naver.com/mnews/article/032/0003386342","경향신문","사회","2025-07-30 PM 04:11:24"
"“조국 사면·복권” 광주 오월어머니집 前 관장, 李 대통령에 자필 편지","https://n.news.naver.com/mnews/article/016/0002507345","헤럴드경제","사회","2025-07-30 PM 04:11:24"
"기내서 보조배터리 분실…화재 우려에 아시아나 이스탄불발 여객기 회항","https://n.news.naver.com/mnews/article/055/0001279865","SBS","사회","2025-07-30 PM 04:11:24"
"울산 '스토킹 살인미수' 30대 남성 구속…""도주 우려 있어""","https://n.news.naver.com/mnews/article/001/0015539063","연합뉴스","사회","2025-07-30 PM 04:11:24"
"스토킹 칼부림에…일선 검찰에 '신변보호 잠정조치' 개선 지시","https://n.news.naver.com/mnews/article/001/0015539061","연합뉴스","사회","2025-07-30 PM 04:11:24"
"부식된 폐차서 먹고 자고 10년…주민센터 8년 설득에 ‘세상 속으로’","https://n.news.naver.com/mnews/article/028/0002758714","한겨레","사회","2025-07-30 PM 04:11:24"
"'특검 조사 거부' 안철수 ""이재명부터 부르라""… 권성동 ""역시 하남자""","https://n.news.naver.com/mnews/article/469/0000878955","한국일보","사회","2025-07-30 PM 04:11:24"
"남편 폭행 피해 왔는데 난민 심사 거부당한 튀니지 여성···대법 “심사 다시 하라”","https://n.news.naver.com/mnews/article/032/0003386337","경향신문","사회","2025-07-30 PM 04:11:24"
"'이틀 연속 소환불응' 버티는 尹에 체포영장…특검 강제수사(종합)","https://n.news.naver.com/mnews/article/001/0015539056","연합뉴스","사회","2025-07-30 PM 04:11:24"
"‘이태원 참사 재수사’ 검·경 합동수사팀 출범…이 대통령 약속 2주 만","https://n.news.naver.com/mnews/article/028/0002758713","한겨레","사회","2025-07-30 PM 04:11:24"
"""국민 분노 산 포스코이앤씨, 광주시민 혈세 노려""","https://n.news.naver.com/mnews/article/047/0002482855","오마이뉴스","사회","2025-07-30 PM 04:11:24"
"내란 특검, ‘국힘 5인방’ 계엄 해제 방해 정황 추적…금명간 소환","https://n.news.naver.com/mnews/article/011/0004515300","서울경제","사회","2025-07-30 PM 04:11:24"
"‘옛 연인을 무참히 살해’ 대전 20대 남성 체포 직전 음독 시도 [세상&]","https://n.news.naver.com/mnews/article/016/0002507335","헤럴드경제","사회","2025-07-30 PM 04:11:24"
"23개월 아기 두고 PC방 간 30대 부모…아동방임 혐의로 송치","https://n.news.naver.com/mnews/article/005/0001792889","국민일보","사회","2025-07-30 PM 04:11:24"
"해운대 백사장 공연장 썰렁…'민간 프로모션존' 운영 차질","https://n.news.naver.com/mnews/article/001/0015539029","연합뉴스","사회","2025-07-30 PM 04:11:24"
"경남 노동계 ""잇단 사망사고 포스코이앤씨 경영책임자 처벌하라""","https://n.news.naver.com/mnews/article/001/0015539027","연합뉴스","사회","2025-07-30 PM 04:11:24"
"김건희 특검, 명태균 내일부터 소환조사···‘명태균 게이트’ 수사 속도","https://n.news.naver.com/mnews/article/032/0003386332","경향신문","사회","2025-07-30 PM 04:11:24"
"맞아도 이 악물고 일해야 하나…“고용허가제 사업자 변경 제한 철폐를”","https://n.news.naver.com/mnews/article/028/0002758708","한겨레","사회","2025-07-30 PM 04:11:24"
"김건희 특검, '불출석' 尹 체포영장 청구...내일부터 이틀간 명태균 소환조사","https://n.news.naver.com/mnews/article/014/0005384782","파이낸셜뉴스","사회","2025-07-30 PM 04:11:24"
"“온라인 강의, 돈 아까웠다” 후기 썼다고…‘1억 소송’ 당한 대학생 ‘승소’, 왜?","https://n.news.naver.com/mnews/article/016/0002507326","헤럴드경제","사회","2025-07-30 PM 04:11:24"
"수도기계화사단, 가평 수해 현장에 대형 세탁기 지원","https://n.news.naver.com/mnews/article/001/0015539016","연합뉴스","사회","2025-07-30 PM 04:11:24"
"공무원 차량서 수천만원 ‘우르르’…익산시, 비위 혐의 ‘직위 해제’","https://n.news.naver.com/mnews/article/028/0002758706","한겨레","사회","2025-07-30 PM 04:11:24"
"폐차에서 10년간 고립 생활한 50대…무슨 사연이?","https://n.news.naver.com/mnews/article/056/0011999404","KBS","사회","2025-07-30 PM 04:11:24"
